split,model_family,overlay_method,method_label,n_specs,mean_delta_return,median_delta_return,mean_delta_volatility,median_delta_volatility,mean_delta_sharpe,median_delta_sharpe,mean_delta_average_drawdown,median_delta_average_drawdown,mean_delta_max_drawdown,median_delta_max_drawdown,mean_delta_terminal_wealth,median_delta_terminal_wealth,mean_overlay_lambda,mean_months_below_full_exposure,share_return_improved,share_volatility_reduced,share_sharpe_improved,share_average_drawdown_improved,share_max_drawdown_improved
test,Baseline,dd_speed_phase_control,DD speed/phase,4,-0.0157692373055634,-0.014705180947127139,-0.02268586921774583,-0.02303762020270756,0.014132431373225202,0.014801933432567194,0.0037953210695339766,0.00372803177558316,0.09962590806529195,0.1013340243040266,-0.43123035200589854,-0.383430104763651,0.874074074074074,47.75,0.0,1.0,1.0,1.0,1.0
test,Baseline,dd_speed_phase_vol_target,DD speed/phase + vol target,4,-0.02095864507176942,-0.021247222309945357,-0.027786805178909416,-0.027882201083650818,0.0052558114392468325,0.005413735425034982,0.0032850120969533034,0.0031099456459891747,0.14307605832025042,0.1363763358254812,-0.5556697905439261,-0.5417730025954371,0.8360340911026878,53.0,0.0,1.0,0.5,1.0,1.0
test,FT-Transformer,dd_speed_phase_control,DD speed/phase,56,-0.031080507421041573,-0.03258594171368223,-0.031638839244545205,-0.032424912611951545,-0.0482078118143542,-0.048576749520566564,0.0018010596290828284,0.004735646261661022,0.08832350240296684,0.09322964944646672,-0.636246970896506,-0.649889606285174,0.877586782376502,45.339285714285715,0.0,1.0,0.16071428571428573,0.7142857142857143,1.0
test,FT-Transformer,dd_speed_phase_vol_target,DD speed/phase + vol target,56,-0.032421925687772656,-0.031052524231357514,-0.03878840003054045,-0.037885053651558614,-0.010797450513448843,-0.018039971181204706,0.004077914064639886,0.006461884976092333,0.11935582553992856,0.11964127789085166,-0.6638474228672078,-0.6287600993829923,0.8252954391535017,54.714285714285715,0.0,1.0,0.375,0.7678571428571429,1.0
test,MLP,dd_speed_phase_control,DD speed/phase,5,-0.006856588241011918,-0.007273578436605144,-0.021353369019309103,-0.020511837063708266,0.08351311068771125,0.08182778320117179,0.015882625036148294,0.015947988935870995,0.11856147081041413,0.12056354275697256,-0.1211770316178459,-0.12970677455447177,0.8501869158878504,52.4,0.0,1.0,1.0,1.0,1.0
test,MLP,dd_speed_phase_vol_target,DD speed/phase + vol target,5,-0.01209304253413559,-0.01302469774942594,-0.025032339009386128,-0.023572772742812484,0.06231432388857694,0.048065381639376126,0.013698990942942213,0.011960612537463458,0.12826098955244963,0.13054463655676307,-0.2119167235388219,-0.22565928481460906,0.8007700528133375,59.2,0.0,1.0,1.0,1.0,1.0
test,Naive Momentum,dd_speed_phase_control,DD speed/phase,6,-0.010178539570977882,-0.009947380542036255,-0.014805601430837326,-0.011563111924590724,-0.07346763432735759,-0.07921244700227024,-0.007245073003140472,-0.00903961273713036,0.04283323287038732,0.0269087837092562,-0.10911019874760959,-0.0960831443357325,0.8044753086419753,63.0,0.0,1.0,0.0,0.16666666666666666,1.0
test,Naive Momentum,dd_speed_phase_vol_target,DD speed/phase + vol target,6,-0.009332424664753702,-0.009842737775420773,-0.019531155523252606,-0.01520157275926061,-0.063835688531874,-0.10246107393710698,-0.006292707338780336,-0.010558358016807927,0.0760760785540669,0.046480579001643985,-0.09871794837502616,-0.09511188642047297,0.7578471519502292,68.0,0.16666666666666666,1.0,0.16666666666666666,0.3333333333333333,1.0
test,TTT,dd_speed_phase_control,DD speed/phase,220,-0.02705869050079842,-0.030914828450919307,-0.029440511572361397,-0.029089591245311998,-0.010415581316618292,-0.0007599775001201348,0.007013797253486271,0.004264043436527049,0.0984737983842043,0.10102891794322766,-0.9778560593344294,-0.8016995439432626,0.8790059473237043,44.29090909090909,0.04090909090909091,1.0,0.5,0.7,0.990909090909091
test,TTT,dd_speed_phase_vol_target,DD speed/phase + vol target,220,-0.034530553737365535,-0.03644603426071691,-0.0386432974093474,-0.04006625971398782,-0.00037153034815530533,0.006486863939711318,0.006400616847447033,0.0037554257224580445,0.1351110139454495,0.13405969616033603,-1.288139015043446,-0.8539566486647356,0.8284917589457148,55.013636363636365,0.03636363636363636,1.0,0.5227272727272727,0.7227272727272728,0.9954545454545455
test,XGBoost,dd_speed_phase_control,DD speed/phase,9,-0.014241215245618413,-0.01293266429742368,-0.02145760697963213,-0.018314105134780226,0.030981217824439918,0.013123977342802462,0.00031121607313532875,-8.953892139504371e-05,0.08954585078796223,0.09230118634504769,-0.36759535433273816,-0.2012436830705311,0.8577881619937694,50.888888888888886,0.0,1.0,0.7777777777777778,0.4444444444444444,1.0
test,XGBoost,dd_speed_phase_vol_target,DD speed/phase + vol target,9,-0.02335287364747127,-0.020957464803588843,-0.02505583773753002,-0.02260846326640574,-0.014665327099355974,0.00044188905760533803,-0.0030704188240467025,0.0011214366396440356,0.11116194856994377,0.11157119888209954,-0.5728044199782922,-0.3167575145632764,0.8186564992879578,56.22222222222222,0.0,1.0,0.5555555555555556,0.5555555555555556,1.0
validation,Baseline,dd_speed_phase_control,DD speed/phase,4,-0.004352540895328327,-0.0041324570177475595,-0.015186660990869388,-0.015345265392927854,0.11720706654368823,0.11489512058380913,0.0015683109423444246,0.0015927688887786787,0.02116317614038779,0.021403734547182918,-0.03508984188298203,-0.03445984490636378,0.8760416666666666,25.0,0.0,1.0,1.0,1.0,1.0
validation,Baseline,dd_speed_phase_vol_target,DD speed/phase + vol target,4,-0.0185618364032738,-0.017720601709865114,-0.018393025391240457,-0.018352228991441885,0.022983124163705793,0.024115953954125247,-0.0012677959340457517,-0.001337281990300249,0.01868985328817596,0.01800956850270724,-0.16235839299136784,-0.14890077424269177,0.8142981994449003,31.75,0.0,1.0,0.75,0.0,1.0
validation,FT-Transformer,dd_speed_phase_control,DD speed/phase,56,-0.024484415666317625,-0.024037608215765394,-0.019396938924450016,-0.0195121204253718,-0.014332682772980884,-0.013228008492068621,-0.000472965254439335,-0.0001564296215773118,0.048321233570553034,0.04567013506044537,-0.21524341316688655,-0.1915245499786471,0.9145386904761905,21.25,0.0,1.0,0.3392857142857143,0.23214285714285715,0.9642857142857143
validation,FT-Transformer,dd_speed_phase_vol_target,DD speed/phase + vol target,56,-0.04421494163082645,-0.044041122729147064,-0.023688251226991357,-0.02270946885657503,-0.16633030959383932,-0.16549637725354915,-0.003998780077550213,-0.0034033903376854795,0.04901231598832291,0.04567013506044537,-0.365468256293418,-0.34232456998779726,0.8467300159579532,31.142857142857142,0.0,1.0,0.017857142857142856,0.0,1.0
validation,MLP,dd_speed_phase_control,DD speed/phase,5,-0.028081630815491955,-0.025877085981917514,-0.00949373188939671,-0.008178245990124788,-0.16083678656735062,-0.15684105394207326,-0.001608700662022637,-0.00175113621787828,0.004343884500187811,1.1102230246251565e-16,-0.22869890980574753,-0.21964385539886466,0.9148333333333334,22.8,0.0,1.0,0.0,0.0,0.6
validation,MLP,dd_speed_phase_vol_target,DD speed/phase + vol target,5,-0.037531442582282845,-0.03621518591250239,-0.014736658942052902,-0.014151993970192567,-0.20436309372398548,-0.17907800042601918,-0.001784496701913924,-0.0015616545905534959,0.003052082367583786,1.1102230246251565e-16,-0.3005559401041782,-0.29962471298219384,0.8641130142067688,30.0,0.0,1.0,0.0,0.0,0.8
validation,Naive Momentum,dd_speed_phase_control,DD speed/phase,6,-0.027362098559344683,-0.022417032675122517,-0.012005365777881269,-0.009679362180490744,-0.16107663276284406,-0.15150283751088506,-0.0018900029334361008,-0.0016213631782343021,0.001682336700958631,0.0011137325635218742,-0.21073334375907674,-0.14995508086067366,0.88375,29.833333333333332,0.0,1.0,0.0,0.0,1.0
validation,Naive Momentum,dd_speed_phase_vol_target,DD speed/phase + vol target,6,-0.037186785098374475,-0.030695929100215458,-0.02374304694884413,-0.01868036760251968,-0.1507086780380966,-0.1411461937708896,0.0001534486528985609,0.00029076669951594997,0.02482412093134284,0.02050861046868585,-0.27911549787938583,-0.2020751077290437,0.8081746228779904,38.5,0.0,1.0,0.0,0.6666666666666666,1.0
validation,TTT,dd_speed_phase_control,DD speed/phase,220,-0.022656734743658077,-0.019267682801013652,-0.017423077894662804,-0.017289618199477108,0.0003858853390726023,0.04392887483203345,-0.0008140295493909297,-0.00031843894296205294,0.033328714543816196,0.03003363196162212,-0.2680071909312248,-0.1679732853750444,0.9095681818181819,21.418181818181818,0.02727272727272727,1.0,0.5227272727272727,0.4772727272727273,0.9727272727272728
validation,TTT,dd_speed_phase_vol_target,DD speed/phase + vol target,220,-0.040137401786034914,-0.03815809828074901,-0.021116211601951693,-0.021020443251052352,-0.12100247425171391,-0.10349823888830068,-0.003990957254882257,-0.0022777238731988177,0.033197429804289844,0.026613647207721858,-0.4339035578755216,-0.3219892290959865,0.8575219564657922,28.736363636363638,0.0,1.0,0.16818181818181818,0.07272727272727272,0.9772727272727273
validation,XGBoost,dd_speed_phase_control,DD speed/phase,9,-0.011188537393215977,-0.007105488823810235,-0.013909812732502377,-0.01661247654222002,0.029789009754195097,0.08483161952162477,6.119846712942269e-05,0.0007477706620446327,0.018060615444630397,0.02181626402048764,-0.0857950692679475,-0.05082469914101195,0.8701851851851852,27.22222222222222,0.0,1.0,0.5555555555555556,0.5555555555555556,1.0
validation,XGBoost,dd_speed_phase_vol_target,DD speed/phase + vol target,9,-0.022581611224301208,-0.022424727053714788,-0.01875888365192724,-0.021987493259228996,-0.03329055783804007,-0.02880990916852122,-0.005584586630720587,-0.0031931078937482565,0.018287039491485704,0.012324032935609353,-0.17616981945414847,-0.14190771529871116,0.8045036427288424,32.77777777777778,0.0,1.0,0.4444444444444444,0.1111111111111111,1.0
