spec_id,split,model_family,score_label,rule,q,gate_type,threshold,overlay_method,method_label,base_annualized_return,overlay_annualized_return,delta_annualized_return,base_annualized_volatility,overlay_annualized_volatility,delta_annualized_volatility,base_sharpe,overlay_sharpe,delta_sharpe,base_average_drawdown,overlay_average_drawdown,delta_average_drawdown,base_max_drawdown,overlay_max_drawdown,delta_max_drawdown,overlay_average_lambda,overlay_average_turnover
baseline_with_boosting__baseline_predictions_with_boosting_prob_gb_er_train__gross_normalized_long_short__q0.1__absolute__thr0.005__zna__cost25,test,Baseline,baseline_with_boosting__baseline_predictions_with_boosting_prob_gb_er_train,gross_normalized_long_short,0.1,absolute,0.005,dd_speed_phase_control,DD speed/phase,0.09916403422827602,0.08744134537878012,-0.0117226888494959,0.1186073888559374,0.10344609057965116,-0.015161298276286234,0.8360696174563154,0.8452841947802006,0.009214577323885198,-0.03821861327350004,-0.03447236282227348,0.0037462504512265626,-0.2612544929871754,-0.1872476598244125,0.07400683316276291,0.8791666666666665,0.9768013515149138
baseline_with_boosting__baseline_predictions_with_boosting_prob_gb_er_train__gross_normalized_long_short__q0.1__absolute__thr0.005__zna__cost25,test,Baseline,baseline_with_boosting__baseline_predictions_with_boosting_prob_gb_er_train,gross_normalized_long_short,0.1,absolute,0.005,dd_speed_phase_vol_target,DD speed/phase + vol target,0.09916403422827602,0.08442785118844731,-0.01473618303982871,0.1186073888559374,0.099645093936064,-0.018962294919873404,0.8360696174563154,0.847285579785989,0.01121596232967359,-0.03821861327350004,-0.03387174674537711,0.004346866528122932,-0.2612544929871754,-0.14662868865397638,0.11462580433319902,0.8366395120643934,0.9320334454405229
baseline_with_boosting__baseline_predictions_with_boosting_prob_gb_er_train__gross_normalized_long_short__q0.2__absolute__thr0.005__zna__cost25,test,Baseline,baseline_with_boosting__baseline_predictions_with_boosting_prob_gb_er_train,gross_normalized_long_short,0.2,absolute,0.005,dd_speed_phase_control,DD speed/phase,0.09343687302971526,0.08296199466226661,-0.010474878367448648,0.11886231372261953,0.10219866285104759,-0.01666365087157194,0.786093338614981,0.8117718211556445,0.025678482540663516,-0.04142269305902132,-0.03771287995908156,0.003709813099939757,-0.2743185670624918,-0.18967596671702025,0.08464260034547155,0.8671296296296296,0.8915749678915099
baseline_with_boosting__baseline_predictions_with_boosting_prob_gb_er_train__gross_normalized_long_short__q0.2__absolute__thr0.005__zna__cost25,test,Baseline,baseline_with_boosting__baseline_predictions_with_boosting_prob_gb_er_train,gross_normalized_long_short,0.2,absolute,0.005,dd_speed_phase_vol_target,DD speed/phase + vol target,0.09343687302971526,0.07737654978477426,-0.016060323244941,0.11886231372261953,0.09878039434994422,-0.02008191937267531,0.786093338614981,0.7833188994028141,-0.0027744392121669126,-0.04142269305902132,-0.0395496682951659,0.0018730247638554173,-0.2743185670624918,-0.16541358465274425,0.10890498240974755,0.8286422939534054,0.8617930397008519
baseline_with_boosting__baseline_predictions_with_boosting_prob_gb_er_train__long_short__q0.1__absolute__thr0.005__zna__cost25,test,Baseline,baseline_with_boosting__baseline_predictions_with_boosting_prob_gb_er_train,long_short,0.1,absolute,0.005,dd_speed_phase_control,DD speed/phase,0.18920537545797012,0.16601366649741944,-0.023191708960550672,0.23729590883988677,0.2078843193060436,-0.02941158953384318,0.7973393910707273,0.7985867671578302,0.0012473760871029027,-0.07727261538850007,-0.07312819146419554,0.00414442392430453,-0.47509746002031916,-0.3532687095299675,0.12182875049035169,0.8745370370370369,1.9545885524844542
baseline_with_boosting__baseline_predictions_with_boosting_prob_gb_er_train__long_short__q0.1__absolute__thr0.005__zna__cost25,test,Baseline,baseline_with_boosting__baseline_predictions_with_boosting_prob_gb_er_train,long_short,0.1,absolute,0.005,dd_speed_phase_vol_target,DD speed/phase + vol target,0.18920537545797012,0.1627712540830204,-0.026434121374949715,0.23729590883988677,0.20087538521142415,-0.036420523628462625,0.7973393910707273,0.8103096051898115,0.012970214119084278,-0.07727261538850007,-0.07114962374734903,0.006122991641151043,-0.47509746002031916,-0.28445088080002745,0.1906465792202917,0.8379787345562266,1.8687369529861584
baseline_with_boosting__baseline_predictions_with_boosting_prob_gb_er_train__long_short__q0.2__absolute__thr0.005__zna__cost25,test,Baseline,baseline_with_boosting__baseline_predictions_with_boosting_prob_gb_er_train,long_short,0.2,absolute,0.005,dd_speed_phase_control,DD speed/phase,0.17677690645261745,0.15908923340785908,-0.01768767304475838,0.23780345272864445,0.2082965145393625,-0.02950693818928196,0.7433740108657553,0.7637633004070045,0.02038928954124919,-0.08368779590525609,-0.08010699910259103,0.0035807968026650566,-0.4943598129023573,-0.37633436463977565,0.11802544826258166,0.8754629629629628,1.8004651974524952
baseline_with_boosting__baseline_predictions_with_boosting_prob_gb_er_train__long_short__q0.2__absolute__thr0.005__zna__cost25,test,Baseline,baseline_with_boosting__baseline_predictions_with_boosting_prob_gb_er_train,long_short,0.2,absolute,0.005,dd_speed_phase_vol_target,DD speed/phase + vol target,0.17677690645261745,0.1501729538252592,-0.026603952627358263,0.23780345272864445,0.20212096993401812,-0.035682482794626325,0.7433740108657553,0.7429855193861516,-0.0003884914796036254,-0.08368779590525609,-0.08289063045057227,0.0007971654546838208,-0.4943598129023573,-0.33623294558459393,0.15812686731776338,0.8408758238367258,1.7395452816596182
baseline_with_boosting__naive_momentum__gross_normalized_long_short__q0.2__absolute__thr0.01__zna__cost25,test,Naive Momentum,baseline_with_boosting__naive_momentum,gross_normalized_long_short,0.2,absolute,0.01,dd_speed_phase_control,DD speed/phase,0.012988920274216387,0.0029906047771355304,-0.009998315497080856,0.08335848858498388,0.07211427050990026,-0.01124421807508362,0.15582000699273954,0.041470360248946334,-0.1143496467437932,-0.07775664729906057,-0.0865199316701727,-0.008763284371112137,-0.22854290729374105,-0.2038843194634744,0.024658587830266643,0.7745370370370369,0.5610047844049054
baseline_with_boosting__naive_momentum__gross_normalized_long_short__q0.2__absolute__thr0.01__zna__cost25,test,Naive Momentum,baseline_with_boosting__naive_momentum,gross_normalized_long_short,0.2,absolute,0.01,dd_speed_phase_vol_target,DD speed/phase + vol target,0.012988920274216387,0.003103507026967378,-0.009885413247249009,0.08335848858498388,0.06976188508688197,-0.013596603498101906,0.15582000699273954,0.04448714399133922,-0.11133286300140033,-0.07775664729906057,-0.08804120077239276,-0.010284553473332195,-0.22854290729374105,-0.19846757296597883,0.030075334327762215,0.7336116034175911,0.5460799794250947
