spec_id,source_file,score_label,score_column,model_family,rule,q,gate_type,threshold,z_threshold,one_way_cost_bps,split,months,net_annualized_return,net_annualized_volatility,net_sharpe,gross_annualized_return,gross_annualized_volatility,gross_sharpe,max_drawdown,average_drawdown,average_monthly_turnover,average_gross_exposure,average_net_exposure,exposure_normalized_annualized_return,exposure_normalized_sharpe,average_n_long,average_n_short,min_n_long,min_n_short,annualized_alpha,beta,alpha_tstat,alpha_beta_months,mean_rank_ic,rank_ic_tstat,rank_ic_hit_rate,rank_ic_months
baseline_with_boosting__elastic_net__gross_normalized_long_short__q0.1__absolute__thr0.005__zna__cost25,baseline_predictions_with_boosting.parquet,baseline_with_boosting__elastic_net,prediction_elastic_net,Baseline,gross_normalized_long_short,0.1,absolute,0.005,,25.0,test,108,0.008334084936951314,0.0744798684575168,0.11189714898201064,0.013797244618298565,0.07419633029970504,0.185955889766605,-0.16342162070047095,-0.0484705315411137,0.1795685262843644,0.4398148148148148,0.4027777777777778,0.01653479206572328,0.10411076570388546,680.7314814814815,30.25925925925926,0,0,-0.04601408996005568,0.3878911804611172,-3.016992999922884,108,0.003091237167405425,0.8195363582896069,0.07407407407407407,12
baseline_with_boosting__elastic_net__gross_normalized_long_short__q0.1__absolute__thr0.005__zna__cost25,baseline_predictions_with_boosting.parquet,baseline_with_boosting__elastic_net,prediction_elastic_net,Baseline,gross_normalized_long_short,0.1,absolute,0.005,,25.0,validation,60,-0.007503699034641542,0.06114335288523567,-0.12272305460130346,-0.005090912733094366,0.06119651592555782,-0.08318958450652943,-0.12066645790845332,-0.04242196332244537,0.0809934008703986,0.48333333333333334,0.48333333333333334,-0.01822356155811755,-0.14648059291699653,654.15,0.0,0,0,-0.059684908268170564,0.4340082547140372,-3.7347522363218237,60,-0.004347992189032238,-0.8395932185199135,0.05,8
baseline_with_boosting__elastic_net__gross_normalized_long_short__q0.1__absolute__thr0.01__zna__cost25,baseline_predictions_with_boosting.parquet,baseline_with_boosting__elastic_net,prediction_elastic_net,Baseline,gross_normalized_long_short,0.1,absolute,0.01,,25.0,test,108,0.008436923705036126,0.05858547750000324,0.14401049654388598,0.016568486997692533,0.05833346315035602,0.284030573583242,-0.1629903290968182,-0.050978069944931516,0.26746057107577415,0.32407407407407407,0.3055555555555556,0.03246866597650455,0.22319061477558064,510.77777777777777,14.88888888888889,0,0,-0.029382362487141097,0.2683017000964466,-2.0512263529043673,108,0.003091237167405425,0.8195363582896069,0.07407407407407407,12
baseline_with_boosting__elastic_net__gross_normalized_long_short__q0.1__absolute__thr0.01__zna__cost25,baseline_predictions_with_boosting.parquet,baseline_with_boosting__elastic_net,prediction_elastic_net,Baseline,gross_normalized_long_short,0.1,absolute,0.01,,25.0,validation,60,-0.010110817769447888,0.057723885783310856,-0.17515830114768766,-0.004513122677724746,0.05750907435184869,-0.0784767052606832,-0.12066645790845332,-0.05318850285303348,0.18744094952552726,0.4166666666666667,0.4166666666666667,-0.022666416432109426,-0.17894386906829796,562.05,0.0,0,0,-0.055793221613890776,0.37999625440703394,-3.22307357507048,60,-0.004347992189032238,-0.8395932185199135,0.05,8
baseline_with_boosting__elastic_net__gross_normalized_long_short__q0.1__absolute__thr0.02__zna__cost25,baseline_predictions_with_boosting.parquet,baseline_with_boosting__elastic_net,prediction_elastic_net,Baseline,gross_normalized_long_short,0.1,absolute,0.02,,25.0,test,108,-0.003564666370512559,0.027892742432294133,-0.1277990638305038,-0.00045228890756066065,0.027780446798409856,-0.01628083633221297,-0.08863112687357921,-0.029294642333218487,0.10380636976722232,0.06944444444444445,0.06018518518518518,-0.034079073337293875,-0.22136436830734862,107.6574074074074,7.287037037037037,0,0,-0.010711824589397578,0.05114386608437257,-1.1532411044670876,108,0.003091237167405425,0.8195363582896069,0.07407407407407407,12
baseline_with_boosting__elastic_net__gross_normalized_long_short__q0.1__absolute__thr0.02__zna__cost25,baseline_predictions_with_boosting.parquet,baseline_with_boosting__elastic_net,prediction_elastic_net,Baseline,gross_normalized_long_short,0.1,absolute,0.02,,25.0,validation,60,0.0041323493523619526,0.009927518155109498,0.41625200657377937,0.0046348554391255625,0.010460368040780542,0.443087224183339,-0.001278569377094918,-0.0007458321366387022,0.016857129180633586,0.008333333333333333,0.008333333333333333,0.681916628378731,,10.983333333333333,0.0,0,0,0.002516174223150315,0.013311401526099132,0.5436818731924782,60,-0.004347992189032238,-0.8395932185199135,0.05,8
baseline_with_boosting__elastic_net__gross_normalized_long_short__q0.1__absolute__thr0__zna__cost25,baseline_predictions_with_boosting.parquet,baseline_with_boosting__elastic_net,prediction_elastic_net,Baseline,gross_normalized_long_short,0.1,absolute,0.0,,25.0,test,108,0.011161777436125453,0.07723278663781367,0.1445212314877238,0.015287804253589554,0.07710804852944456,0.1982647018715788,-0.1582797418820553,-0.04685366091778677,0.1355376609523202,0.5,0.4444444444444444,0.016330202200626864,0.10572065900721683,767.4722222222222,46.44444444444444,0,0,-0.04576411796351938,0.40664269622254545,-2.9555193512619904,108,0.003091237167405425,0.8195363582896069,0.07407407407407407,12
baseline_with_boosting__elastic_net__gross_normalized_long_short__q0.1__absolute__thr0__zna__cost25,baseline_predictions_with_boosting.parquet,baseline_with_boosting__elastic_net,prediction_elastic_net,Baseline,gross_normalized_long_short,0.1,absolute,0.0,,25.0,validation,60,-0.0028605798189997866,0.06150787897180578,-0.04650753475519828,-0.0013566832404390272,0.061499062979812676,-0.022060226200265265,-0.1185409541729503,-0.039280354167815786,0.05020232757475214,0.5,0.5,-0.009438980233739791,-0.0767298465784072,676.0333333333333,0.0,651,0,-0.05547298957633201,0.437832826036349,-3.4729847872207937,60,-0.004347992189032238,-0.8395932185199135,0.05,8
baseline_with_boosting__elastic_net__gross_normalized_long_short__q0.1__none__thrna__zna__cost25,baseline_predictions_with_boosting.parquet,baseline_with_boosting__elastic_net,prediction_elastic_net,Baseline,gross_normalized_long_short,0.1,none,,,25.0,test,108,-0.012003407560253754,0.02013179551251855,-0.5962412817470591,-0.0089099491318676,0.020109624723190837,-0.4430688913648628,-0.11621145220284523,-0.0751933557677102,0.10409598356488065,1.0,-4.1279993826485134e-18,-0.012003407560253754,-0.596241281747059,813.9722222222222,812.9722222222222,709,708,-0.0006262258840787054,-0.07640273636178005,-0.11077659459220424,108,0.003091237167405425,0.8195363582896069,0.07407407407407407,12
baseline_with_boosting__elastic_net__gross_normalized_long_short__q0.1__none__thrna__zna__cost25,baseline_predictions_with_boosting.parquet,baseline_with_boosting__elastic_net,prediction_elastic_net,Baseline,gross_normalized_long_short,0.1,none,,,25.0,validation,60,-0.020893990867236645,0.018366067159994146,-1.1376409922288069,-0.017621130987557465,0.01813780786910391,-0.9715138187990978,-0.09874031584513543,-0.06429413969334151,0.11091886281870343,1.0,-2.7755575615628915e-18,-0.020893990867236645,-1.137640992228807,676.0333333333333,675.0333333333333,651,650,-0.01115689300663969,-0.07856098038988268,-1.4877452726372709,60,-0.004347992189032238,-0.8395932185199135,0.05,8
