period,split,year,Main return,Main MDD,Risk-balanced return,Risk-balanced MDD,is_average
Validation 2010,validation,2010,-0.012552465232785304,-0.012552465232785304,0.0020131936125984407,0.0,False
Validation 2011,validation,2011,0.4886930918548782,-0.03878454807573417,0.2811913865472442,-0.18598450208403117,False
Validation 2012,validation,2012,2.056398232014356,-0.027299911512594588,1.3905702676568739,-0.06095907547277779,False
Validation 2013,validation,2013,0.14454454543835027,-0.2751117625673877,0.4267850761557763,-0.1255053424430127,False
Validation 2014,validation,2014,0.9561535259286531,-0.05895034890431161,0.6100365285618135,-0.06192387414750633,False
Validation 2015,validation,2015,0.4594594790887214,-0.09867645125802182,0.29286101945938103,-0.06869317678831866,False
Validation AVG,validation,9999,0.682116068182029,-0.0852292479251392,0.5005762453322812,-0.08384432848927444,True
Test 2015,test,2015,0.11824945011397081,0.0,-0.01526938434071523,-0.01526938434071523,False
Test 2016,test,2016,0.5391856458918054,-0.07650808781262863,0.6781746600824226,-0.018851099977648667,False
Test 2017,test,2017,0.6762477540228662,-0.022176599843746425,0.66717911805751,0.0,False
Test 2018,test,2018,0.4771785144655136,-0.02625555261482848,0.18859582588031198,-0.14336250887479163,False
Test 2019,test,2019,0.427854178079649,-0.15165092082672427,0.36880524635560885,-0.07560709372585517,False
Test 2020,test,2020,-0.5239992013193936,-0.5835225624437905,-0.16327484503068335,-0.2840819365312388,False
Test 2021,test,2021,0.639101108035701,-0.10517861874293422,0.6078271304074179,-0.06555355614871583,False
Test 2022,test,2022,0.475444532501212,-0.13597298739204788,0.29697439601613373,-0.14797973823866528,False
Test 2023,test,2023,0.8200041353428549,-0.018527731324002317,0.5128042675922195,-0.0694128306779721,False
Test 2024,test,2024,0.46042076058649295,-0.03860961203359092,0.6018490164078905,-0.02414506194524746,False
Test AVG,test,9999,0.4109686877720673,-0.11584026730342938,0.37436654314281165,-0.08442632104608502,True
