spec_id,source_file,score_label,score_column,model_family,rule,q,gate_type,threshold,z_threshold,one_way_cost_bps,split,months,net_annualized_return,net_annualized_volatility,net_sharpe,gross_annualized_return,gross_annualized_volatility,gross_sharpe,max_drawdown,average_drawdown,average_monthly_turnover,average_gross_exposure,average_net_exposure,exposure_normalized_annualized_return,exposure_normalized_sharpe,average_n_long,average_n_short,min_n_long,min_n_short,annualized_alpha,beta,alpha_tstat,alpha_beta_months,mean_rank_ic,rank_ic_tstat,rank_ic_hit_rate,rank_ic_months,comparison_role,validation_rank
temporal_tabular_backtest__small_ft_warmstart_er_train__gross_normalized_long_short__q0.1__absolute__thr0.01__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_ft_warmstart_er_train,score_small_ft_warmstart_er_train,TTT,gross_normalized_long_short,0.1,absolute,0.01,,25.0,test,107,0.38811901233825563,0.27048497492842666,1.434900450352025,0.4214461200497073,0.27036086277941185,1.55882813702058,-0.6283316874450606,-0.09963157546626528,0.8088882561427784,1.0,1.164757380628119e-17,0.38811901233825563,1.4349004503520248,812.6168224299065,34.205607476635514,709,1,0.4173280906936131,-0.2975033286386,4.4787554036864785,107,0.07210055704262384,7.367018743214936,0.7383177570093458,107,top_validation,1
temporal_tabular_backtest__small_ft_warmstart_er_train__gross_normalized_long_short__q0.1__absolute__thr0.01__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_ft_warmstart_er_train,score_small_ft_warmstart_er_train,TTT,gross_normalized_long_short,0.1,absolute,0.01,,25.0,validation,60,0.7113993559886385,0.291340591591258,2.441813384475824,0.7512433929237357,0.2917892285846422,2.574609750221863,-0.27511176256738756,-0.030662328530294734,0.8047804845099111,0.9583333333333334,0.041666666666666664,0.7480847740226351,2.5351160647061666,676.0333333333333,5.433333333333334,651,0,0.544273277378959,0.3794014434445171,4.004501344235231,60,0.05069009242350038,4.164906412674889,0.7,60,top_validation,1
temporal_tabular_backtest__small_ft_warmstart_er_train__gross_normalized_long_short__q0.2__absolute__thr0.01__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_ft_warmstart_er_train,score_small_ft_warmstart_er_train,TTT,gross_normalized_long_short,0.2,absolute,0.01,,25.0,test,107,0.3832746197906993,0.26859341096556094,1.4269695537685503,0.41397486979974496,0.268452560193588,1.5420783079931035,-0.6269217259288726,-0.10104351167965234,0.7479217282772419,1.0,1.0379969210225707e-17,0.3832746197906993,1.4269695537685503,1624.7570093457944,34.205607476635514,1417,1,0.4129805166852487,-0.29652508227728824,4.46381208733064,107,0.07210055704262384,7.367018743214936,0.7383177570093458,107,top_validation,2
temporal_tabular_backtest__small_ft_warmstart_er_train__gross_normalized_long_short__q0.2__absolute__thr0.01__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_ft_warmstart_er_train,score_small_ft_warmstart_er_train,TTT,gross_normalized_long_short,0.2,absolute,0.01,,25.0,validation,60,0.7051599929314223,0.29018223249674496,2.430059162699881,0.7421456413121836,0.29062742068078645,2.553598141475187,-0.27280927630850893,-0.030275508542055,0.7503268403884394,0.9583333333333334,0.041666666666666664,0.7424985151314678,2.523122122538768,1351.5166666666667,5.433333333333334,1302,0,0.5405152165243343,0.3759926201280292,3.992247718356581,60,0.05069009242350038,4.164906412674889,0.7,60,top_validation,2
temporal_tabular_backtest__small_ft_warmstart_er_train__long_short_130_30__q0.1__absolute__thr0.01__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_ft_warmstart_er_train,score_small_ft_warmstart_er_train,TTT,long_short_130_30,0.1,absolute,0.01,,25.0,test,107,0.39088160510489844,0.2203082653821662,1.7742484805408487,0.4282580425288718,0.22041217777251995,1.9429872108557569,-0.3382104206559542,-0.034250509372822376,0.908470087657714,1.5999999999999999,1.0,0.237476954846487,1.7246884818200603,812.6168224299065,34.205607476635514,709,1,0.21768266286546833,0.9358964521758527,3.7613400759402613,107,0.07210055704262384,7.367018743214936,0.7383177570093458,107,top_validation,3
temporal_tabular_backtest__small_ft_warmstart_er_train__long_short_130_30__q0.1__absolute__thr0.01__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_ft_warmstart_er_train,score_small_ft_warmstart_er_train,TTT,long_short_130_30,0.1,absolute,0.01,,25.0,validation,60,0.5557758243231128,0.23173335785588423,2.3983419110025226,0.5976781652697765,0.23176981908974637,2.578757525967358,-0.1859845020840315,-0.0185430298579796,0.9185791576383743,1.5749999999999995,1.025,0.33896963839007666,2.25211810849029,676.0333333333333,5.433333333333334,651,0,0.30255272053071175,1.3915433333644256,3.89692944682057,60,0.05069009242350038,4.164906412674889,0.7,60,top_validation,3
temporal_tabular_backtest__small_ft_warmstart_er_train__long_short_130_30__q0.2__absolute__thr0.01__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_ft_warmstart_er_train,score_small_ft_warmstart_er_train,TTT,long_short_130_30,0.2,absolute,0.01,,25.0,test,107,0.37717400707776205,0.21686061581419405,1.7392462234863537,0.4076426499636072,0.216898787391274,1.8794141491821315,-0.34443683774661027,-0.035238696306074076,0.7486190010856866,1.5999999999999996,1.0,0.22957568347292168,1.6938119085274341,1624.7570093457944,34.205607476635514,1417,1,0.2064095495696625,0.9385031424109445,3.677271469327885,107,0.07210055704262384,7.367018743214936,0.7383177570093458,107,top_validation,4
temporal_tabular_backtest__small_ft_warmstart_er_train__long_short_130_30__q0.2__absolute__thr0.01__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_ft_warmstart_er_train,score_small_ft_warmstart_er_train,TTT,long_short_130_30,0.2,absolute,0.01,,25.0,validation,60,0.5404786386861753,0.22948287117242264,2.355202529604421,0.5754312717546699,0.2295147822790313,2.507164314388659,-0.18317620233778575,-0.018020413036018836,0.7747279494055644,1.5749999999999995,1.025,0.3306573705873417,2.211455663401121,1351.5166666666667,5.433333333333334,1302,0,0.29284360411073906,1.3827311119582082,3.821755190070383,60,0.05069009242350038,4.164906412674889,0.7,60,top_validation,4
temporal_tabular_backtest__small_random_er_train__long_short_130_30__q0.1__absolute__thr0.01__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_random_er_train,score_small_random_er_train,TTT,long_short_130_30,0.1,absolute,0.01,,25.0,test,107,0.29328193081571596,0.22066649254389092,1.329073242768753,0.3286453523420678,0.22073663131198706,1.4888573336863313,-0.34017620943819626,-0.041930865773582016,0.9184530666094932,1.5999999999999999,1.0,0.1818650186067472,1.3186597857076932,812.6168224299065,42.45794392523364,709,3,0.1678782259124223,0.7704206342504267,2.5899338101199323,107,0.048017321331156784,5.907811814572144,0.6542056074766355,107,top_validation,5
temporal_tabular_backtest__small_random_er_train__long_short_130_30__q0.1__absolute__thr0.01__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_random_er_train,score_small_random_er_train,TTT,long_short_130_30,0.1,absolute,0.01,,25.0,validation,60,0.3682911299468974,0.16183683023302997,2.2756941631678798,0.4094504053183816,0.1617524738351471,2.5313393706465366,-0.13584161741607925,-0.013274555273417003,1.0137092014446845,1.5999999999999994,1.0,0.2213449972037136,2.1883275581707564,676.0333333333333,15.383333333333333,651,1,0.27136832444445885,0.476832085148155,3.7854344020254254,60,0.058305597735209526,5.172353054817317,0.7333333333333333,60,top_validation,5
