spec_id,validation_rank,split,model_family,score_label,rule,gate_type,q,threshold,z_threshold,net_sharpe,net_annualized_return,annualized_alpha,beta,alpha_tstat,alpha_beta_months
temporal_tabular_backtest__small_ft_warmstart_er_train__gross_normalized_long_short__q0.1__absolute__thr0.01__zna__cost25,1,test,TTT,temporal_tabular_backtest__small_ft_warmstart_er_train,gross_normalized_long_short,absolute,0.1,0.01,,1.434900450352025,0.38811901233825563,0.4173280906936131,-0.2975033286386,4.4787554036864785,107
temporal_tabular_backtest__small_ft_warmstart_er_train__gross_normalized_long_short__q0.1__absolute__thr0.01__zna__cost25,1,validation,TTT,temporal_tabular_backtest__small_ft_warmstart_er_train,gross_normalized_long_short,absolute,0.1,0.01,,2.441813384475824,0.7113993559886385,0.544273277378959,0.3794014434445171,4.004501344235231,60
temporal_tabular_backtest__small_ft_warmstart_er_train__gross_normalized_long_short__q0.2__absolute__thr0.01__zna__cost25,2,test,TTT,temporal_tabular_backtest__small_ft_warmstart_er_train,gross_normalized_long_short,absolute,0.2,0.01,,1.4269695537685503,0.3832746197906993,0.4129805166852487,-0.29652508227728824,4.46381208733064,107
temporal_tabular_backtest__small_ft_warmstart_er_train__gross_normalized_long_short__q0.2__absolute__thr0.01__zna__cost25,2,validation,TTT,temporal_tabular_backtest__small_ft_warmstart_er_train,gross_normalized_long_short,absolute,0.2,0.01,,2.430059162699881,0.7051599929314223,0.5405152165243343,0.3759926201280292,3.992247718356581,60
temporal_tabular_backtest__small_ft_warmstart_er_train__long_short_130_30__q0.1__absolute__thr0.01__zna__cost25,3,test,TTT,temporal_tabular_backtest__small_ft_warmstart_er_train,long_short_130_30,absolute,0.1,0.01,,1.7742484805408487,0.39088160510489844,0.21768266286546833,0.9358964521758527,3.7613400759402613,107
temporal_tabular_backtest__small_ft_warmstart_er_train__long_short_130_30__q0.1__absolute__thr0.01__zna__cost25,3,validation,TTT,temporal_tabular_backtest__small_ft_warmstart_er_train,long_short_130_30,absolute,0.1,0.01,,2.3983419110025226,0.5557758243231128,0.30255272053071175,1.3915433333644256,3.89692944682057,60
temporal_tabular_backtest__small_ft_warmstart_er_train__long_short_130_30__q0.2__absolute__thr0.01__zna__cost25,4,test,TTT,temporal_tabular_backtest__small_ft_warmstart_er_train,long_short_130_30,absolute,0.2,0.01,,1.7392462234863537,0.37717400707776205,0.2064095495696625,0.9385031424109445,3.677271469327885,107
temporal_tabular_backtest__small_ft_warmstart_er_train__long_short_130_30__q0.2__absolute__thr0.01__zna__cost25,4,validation,TTT,temporal_tabular_backtest__small_ft_warmstart_er_train,long_short_130_30,absolute,0.2,0.01,,2.355202529604421,0.5404786386861753,0.29284360411073906,1.3827311119582082,3.821755190070383,60
temporal_tabular_backtest__small_random_er_train__long_short_130_30__q0.1__absolute__thr0.01__zna__cost25,5,test,TTT,temporal_tabular_backtest__small_random_er_train,long_short_130_30,absolute,0.1,0.01,,1.329073242768753,0.29328193081571596,0.1678782259124223,0.7704206342504267,2.5899338101199323,107
temporal_tabular_backtest__small_random_er_train__long_short_130_30__q0.1__absolute__thr0.01__zna__cost25,5,validation,TTT,temporal_tabular_backtest__small_random_er_train,long_short_130_30,absolute,0.1,0.01,,2.2756941631678798,0.3682911299468974,0.27136832444445885,0.476832085148155,3.7854344020254254,60
temporal_tabular_backtest__small_random_er_train__long_short_130_30__q0.2__absolute__thr0.01__zna__cost25,6,test,TTT,temporal_tabular_backtest__small_random_er_train,long_short_130_30,absolute,0.2,0.01,,1.3315491193380846,0.29057466952374833,0.1575440727112481,0.8212749849780993,2.5451079004301502,107
temporal_tabular_backtest__small_random_er_train__long_short_130_30__q0.2__absolute__thr0.01__zna__cost25,6,validation,TTT,temporal_tabular_backtest__small_random_er_train,long_short_130_30,absolute,0.2,0.01,,2.2465514816817302,0.36732542414502634,0.26338473708219273,0.5373970114888449,3.6983831641779283,60
temporal_tabular_backtest__small_mlp_warmstart_er_train__gross_normalized_long_short__q0.2__absolute__thr0.01__zna__cost25,7,test,TTT,temporal_tabular_backtest__small_mlp_warmstart_er_train,gross_normalized_long_short,absolute,0.2,0.01,,2.6336575619758134,0.5899006332009455,0.45504198127823603,0.2728493034928095,5.917518006087932,107
temporal_tabular_backtest__small_mlp_warmstart_er_train__gross_normalized_long_short__q0.2__absolute__thr0.01__zna__cost25,7,validation,TTT,temporal_tabular_backtest__small_mlp_warmstart_er_train,gross_normalized_long_short,absolute,0.2,0.01,,1.9522044392501579,0.673703312848954,0.5295067216827807,0.42737609736481547,3.2852220685052895,60
temporal_tabular_backtest__small_mlp_warmstart_er_train__gross_normalized_long_short__q0.1__absolute__thr0.01__zna__cost25,8,test,TTT,temporal_tabular_backtest__small_mlp_warmstart_er_train,gross_normalized_long_short,absolute,0.1,0.01,,2.60649299743054,0.5870828267565189,0.45382848752878024,0.2705106839710457,5.865852257208718,107
temporal_tabular_backtest__small_mlp_warmstart_er_train__gross_normalized_long_short__q0.1__absolute__thr0.01__zna__cost25,8,validation,TTT,temporal_tabular_backtest__small_mlp_warmstart_er_train,gross_normalized_long_short,absolute,0.1,0.01,,1.9418285631433205,0.6701800067970927,0.525996532197897,0.4381543326766089,3.264956349782513,60
temporal_tabular_backtest__small_random_classifier__long_short_130_30__q0.2__absolute__thr0.02__zna__cost25,9,test,TTT,temporal_tabular_backtest__small_random_classifier,long_short_130_30,absolute,0.2,0.02,,0.950292038437565,0.14561107939578033,0.03201861007435641,0.7708371470663715,0.9578764323101542,107
temporal_tabular_backtest__small_random_classifier__long_short_130_30__q0.2__absolute__thr0.02__zna__cost25,9,validation,TTT,temporal_tabular_backtest__small_random_classifier,long_short_130_30,absolute,0.2,0.02,,1.7608527399966925,0.17574144850749374,0.08197537056636413,0.6903348800014508,2.9772479788623096,60
temporal_tabular_backtest__small_mlp_warmstart_er_train__long_short_130_30__q0.2__absolute__thr0.01__zna__cost25,10,test,TTT,temporal_tabular_backtest__small_mlp_warmstart_er_train,long_short_130_30,absolute,0.2,0.01,,1.8354508412082824,0.48178165753491276,0.231126065230841,1.3364016561899688,4.115374697062512,107
