model,split,mean_monthly_rank_ic,std_monthly_rank_ic,months,t_stat_monthly_rank_ic,model_label
naive_momentum,test,0.046996630852638374,0.1290782793421874,108,3.7837761474431475,Naive momentum
naive_reversal,test,-0.020757351575351555,0.11594207039370177,108,-1.86055609169276,Naive reversal
ridge,test,-0.0013439638038467237,0.09772224693340154,108,-0.14292427762426385,Ridge
elastic_net,test,0.0030912371674054174,0.013066363140656236,12,0.819536358289607,Elastic Net
logistic_classifier,test,0.07329147343036332,0.1071736867226721,108,7.106850177028715,Logistic classifier
gradient_boosting_reg,test,0.00824238959849587,0.10752337186861523,108,0.7966400594923575,Gradient boosting regressor
gb_classifier,test,0.07788924625091805,0.12897230999643794,108,6.2761440129385795,Gradient boosting classifier
naive_momentum,train,0.04708501549718626,0.11130909539878005,251,6.701760834930546,Naive momentum
naive_reversal,train,-0.011526199211929749,0.09371907465245813,251,-1.9484756834117505,Naive reversal
ridge,train,-0.0019365163980785834,0.07380720022830332,251,-0.4156801712523202,Ridge
elastic_net,train,-0.0025701410237302523,0.012105706172720845,19,-0.9254301098380608,Elastic Net
logistic_classifier,train,0.05836852418204407,0.10135082347194202,251,9.12406334176166,Logistic classifier
gradient_boosting_reg,train,0.17224603281713793,0.11842266356417963,251,23.04364965121321,Gradient boosting regressor
gb_classifier,train,0.1865898098927645,0.12021738250781008,251,24.58994260801504,Gradient boosting classifier
naive_momentum,validation,0.07105682479115141,0.13265718050566733,60,4.149069021390074,Naive momentum
naive_reversal,validation,-0.031330002124675974,0.11769832727686566,60,-2.061891265116786,Naive reversal
ridge,validation,-0.015442172398472167,0.09512690752685059,60,-1.2574208093890848,Ridge
elastic_net,validation,-0.004347992189032238,0.014647544518431123,8,-0.8395932185199164,Elastic Net
logistic_classifier,validation,0.0703892035454865,0.08073224156492913,60,6.753589589488134,Logistic classifier
gradient_boosting_reg,validation,0.01955122785500674,0.10030634523889054,60,1.509806377652549,Gradient boosting regressor
gb_classifier,validation,0.07477702744750107,0.0969283275573358,60,5.9757593942132985,Gradient boosting classifier
