model,split,actual_label,predicted_label,count
logistic_classifier,train,0,0,110270
logistic_classifier,train,0,1,207984
logistic_classifier,train,0,2,48860
logistic_classifier,train,1,0,123880
logistic_classifier,train,1,1,903218
logistic_classifier,train,1,2,73788
logistic_classifier,train,2,0,87720
logistic_classifier,train,2,1,237452
logistic_classifier,train,2,2,41904
logistic_classifier,validation,0,0,19993
logistic_classifier,validation,0,1,57805
logistic_classifier,validation,0,2,3417
logistic_classifier,validation,1,0,14975
logistic_classifier,validation,1,1,225095
logistic_classifier,validation,1,2,3450
logistic_classifier,validation,2,0,13942
logistic_classifier,validation,2,1,64483
logistic_classifier,validation,2,2,2771
logistic_classifier,test,0,0,53766
logistic_classifier,test,0,1,104636
logistic_classifier,test,0,2,15910
logistic_classifier,test,1,0,34027
logistic_classifier,test,1,1,474520
logistic_classifier,test,1,2,14190
logistic_classifier,test,2,0,37929
logistic_classifier,test,2,1,122821
logistic_classifier,test,2,2,13541
