feature,feature_group
ret_lag_1m,return_feature
ret_lag_2m,return_feature
ret_lag_3m,return_feature
ret_lag_6m,return_feature
momentum_6m,return_feature
momentum_12m_excl_1m,return_feature
volatility_12m,return_feature
volatility_24m,return_feature
market_ret_lag_1m,return_feature
excess_ret_lag_1m,return_feature
beta_24m,return_feature
jkp_market_equity_lag1,jkp_feature
jkp_market_equity_mom12,jkp_feature
jkp_market_equity_vol12,jkp_feature
jkp_be_me_lag1,jkp_feature
jkp_be_me_mom12,jkp_feature
jkp_be_me_vol12,jkp_feature
jkp_ret_12_1_lag1,jkp_feature
jkp_ret_12_1_mom12,jkp_feature
jkp_ret_12_1_vol12,jkp_feature
jkp_ret_6_1_lag1,jkp_feature
jkp_ret_6_1_mom12,jkp_feature
jkp_ret_6_1_vol12,jkp_feature
jkp_ret_1_0_lag1,jkp_feature
jkp_ret_1_0_mom12,jkp_feature
jkp_ret_1_0_vol12,jkp_feature
jkp_gp_at_lag1,jkp_feature
jkp_gp_at_mom12,jkp_feature
jkp_gp_at_vol12,jkp_feature
jkp_op_at_lag1,jkp_feature
jkp_op_at_mom12,jkp_feature
jkp_op_at_vol12,jkp_feature
jkp_inv_gr1a_lag1,jkp_feature
jkp_inv_gr1a_mom12,jkp_feature
jkp_inv_gr1a_vol12,jkp_feature
jkp_oaccruals_at_lag1,jkp_feature
jkp_oaccruals_at_mom12,jkp_feature
jkp_oaccruals_at_vol12,jkp_feature
jkp_netis_at_lag1,jkp_feature
jkp_netis_at_mom12,jkp_feature
jkp_netis_at_vol12,jkp_feature
jkp_div12m_me_lag1,jkp_feature
jkp_div12m_me_mom12,jkp_feature
jkp_div12m_me_vol12,jkp_feature
jkp_beta_60m_lag1,jkp_feature
jkp_beta_60m_mom12,jkp_feature
jkp_beta_60m_vol12,jkp_feature
jkp_ivol_capm_252d_lag1,jkp_feature
jkp_ivol_capm_252d_mom12,jkp_feature
jkp_ivol_capm_252d_vol12,jkp_feature
jkp_rvol_21d_lag1,jkp_feature
jkp_rvol_21d_mom12,jkp_feature
jkp_rvol_21d_vol12,jkp_feature
jkp_ami_126d_lag1,jkp_feature
jkp_ami_126d_mom12,jkp_feature
jkp_ami_126d_vol12,jkp_feature
jkp_zero_trades_126d_lag1,jkp_feature
jkp_zero_trades_126d_mom12,jkp_feature
jkp_zero_trades_126d_vol12,jkp_feature
acct_log_sales,selected_compustat_feature
acct_log_common_shares,selected_compustat_feature
acct_epspxy,selected_compustat_feature
acct_gross_margin,selected_compustat_feature
acct_operating_margin,selected_compustat_feature
acct_ebitda_margin,selected_compustat_feature
acct_net_income_margin,selected_compustat_feature
acct_income_before_extra_margin,selected_compustat_feature
acct_pretax_margin,selected_compustat_feature
acct_operating_cf_margin,selected_compustat_feature
acct_free_cash_flow_margin,selected_compustat_feature
acct_sga_to_sales,selected_compustat_feature
acct_capex_to_sales,selected_compustat_feature
acct_interest_to_sales,selected_compustat_feature
acct_tax_to_sales,selected_compustat_feature
acct_dividends_to_sales,selected_compustat_feature
acct_preferred_dividends_to_sales,selected_compustat_feature
acct_dividends_to_earnings,selected_compustat_feature
acct_stock_issuance_to_sales,selected_compustat_feature
acct_stock_repurchases_to_sales,selected_compustat_feature
acct_long_debt_issuance_to_sales,selected_compustat_feature
acct_debt_reduction_to_sales,selected_compustat_feature
acct_cash_change_to_sales,selected_compustat_feature
acct_receivables_change_to_sales,selected_compustat_feature
acct_inventory_change_to_sales,selected_compustat_feature
acct_acquisition_to_sales,selected_compustat_feature
acct_investing_cf_to_sales,selected_compustat_feature
acct_financing_cf_to_sales,selected_compustat_feature
acct_accruals_to_sales,selected_compustat_feature
acct_receivables_change_to_sales_missing,selected_compustat_missing_indicator
acct_interest_to_sales_missing,selected_compustat_missing_indicator
acct_inventory_change_to_sales_missing,selected_compustat_missing_indicator
acct_ebitda_margin_missing,selected_compustat_missing_indicator
acct_sga_to_sales_missing,selected_compustat_missing_indicator
acct_stock_repurchases_to_sales_missing,selected_compustat_missing_indicator
acct_long_debt_issuance_to_sales_missing,selected_compustat_missing_indicator
acct_income_before_extra_margin_missing,selected_compustat_missing_indicator
acct_acquisition_to_sales_missing,selected_compustat_missing_indicator
acct_debt_reduction_to_sales_missing,selected_compustat_missing_indicator
