model,split,rows,mse,mae,pearson_corr,spearman_corr,directional_accuracy,monthly_rank_ic_mean,monthly_rank_ic_std,monthly_rank_ic_months,monthly_rank_ic_tstat
naive_momentum,train,1835076,0.7507603764533997,0.3988124430179596,-0.0049757376777914974,0.04045482245064253,0.5078323731551173,0.046947590747606086,0.11109872353954806,252,6.70817696987779
naive_momentum,validation,405931,0.2169845700263977,0.2683790624141693,0.02742048362488691,0.06885988601392219,0.5348692265434273,0.07261704111668507,0.13260291820932182,60,4.2419065084498175
naive_momentum,test,871340,0.4707607626914978,0.3059619963169098,-1.008189403077845e-05,0.029310242858319204,0.5270778341405192,0.0463532295319023,0.12951631123570678,107,3.702093813688847
naive_reversal,train,1835076,0.07218891382217407,0.16155752539634705,0.008955503177029473,-0.011312583052538423,0.4631481202958352,-0.011339047055294088,0.09357936952416833,252,-1.9235200300223891
naive_reversal,validation,405931,0.03329397365450859,0.11033715307712555,-0.014747863234362009,-0.04038137984834372,0.46784059359841945,-0.030685368329913438,0.1181762667942577,60,-2.011299286021616
naive_reversal,test,871340,0.06938257813453674,0.13025882840156555,0.0032971310752380203,-0.009448186897121798,0.47139578121054926,-0.02164587048676618,0.11611767157438435,107,-1.9282734687751721
ridge,train,1835076,0.035862185060977936,0.11005973815917969,0.17630251187029058,0.18486548887156,0.5538282883106749,-0.0026946689679091572,0.07419950329012379,252,-0.5765071440050736
ridge,validation,405931,0.021284500136971474,0.09848488122224808,0.05387115378068704,0.05259766493759823,0.5302994843951312,-0.017991038193738925,0.09741991181212092,60,-1.4304876694963915
ridge,test,871340,0.038334570825099945,0.10253456234931946,0.007263481503449362,0.021825292601910393,0.5318543851998072,-0.0003848133274216528,0.09840566945865357,107,-0.040450311779354015
elastic_net,train,1835076,0.036570640624864564,0.11065691848842775,0.10934046388541115,0.11270090411072783,0.5343642443146769,0.006728917820533078,0.0910874878845659,252,1.1726995809753498
elastic_net,validation,405931,0.017208867447893638,0.07667074239570276,0.025881948376251948,0.016921515170086495,0.49301974966188833,0.00028577192131876264,0.05394086601086968,60,0.04103715694361428
elastic_net,test,871340,0.036301340601651445,0.09169597418695596,0.0006308965961880476,-0.0025013635797625786,0.4911653315582895,0.0023483646744808916,0.05334012517634112,107,0.4554108749846781
logistic_classifier,train,1835076,0.07763394912630071,0.16976219519719646,-0.01682054289759472,0.023097401009346125,0.5004849935370524,0.04215448067891214,0.0987713274105184,252,6.7750596522772835
logistic_classifier,validation,405931,0.04138078585943667,0.11352473467632837,0.027507788297395332,0.06649838407343096,0.5260475302452879,0.07285761142786654,0.08469715881734718,60,6.663182558770426
logistic_classifier,test,871340,0.07556784615047166,0.139272448548928,0.018245031368928823,0.06767997698034957,0.5380058301007643,0.06689603858532008,0.09035550837563888,107,7.658393120701512
