model,selected,feature,missing_fill,alpha,l1_ratio,estimator,C,class_weight,validation_monthly_rank_ic
naive_momentum,True,momentum_12m_excl_1m,0.04386795312166214,,,,,,
naive_reversal,True,negative ret_lag_1m,0.0,,,,,,
ridge,True,,,100.0,,,,,
elastic_net,True,,,0.01,0.5,SGDRegressor_elasticnet,,,
logistic_classifier,True,,,5.468760253925476e-05,,SGDClassifier_log_loss,0.01,none,
ridge,False,,,0.1,,,,,-0.015540876169085064
ridge,False,,,1.0,,,,,-0.015540809564549736
ridge,False,,,10.0,,,,,-0.01552974963180396
ridge,False,,,100.0,,,,,-0.015442146499277247
elastic_net,False,,,0.0001,0.1,SGDRegressor_elasticnet,,,-0.029734955060484663
elastic_net,False,,,0.0001,0.5,SGDRegressor_elasticnet,,,-0.023589295284551313
elastic_net,False,,,0.0001,0.9,SGDRegressor_elasticnet,,,-0.02806417597268758
elastic_net,False,,,0.001,0.1,SGDRegressor_elasticnet,,,-0.0273149566163198
elastic_net,False,,,0.001,0.5,SGDRegressor_elasticnet,,,-0.006604045332878123
elastic_net,False,,,0.001,0.9,SGDRegressor_elasticnet,,,-0.006357648900819202
elastic_net,False,,,0.01,0.1,SGDRegressor_elasticnet,,,-0.011098588835107179
elastic_net,False,,,0.01,0.5,SGDRegressor_elasticnet,,,0.0033321345415141387
elastic_net,False,,,0.01,0.9,SGDRegressor_elasticnet,,,-inf
elastic_net,False,,,0.1,0.1,SGDRegressor_elasticnet,,,-inf
elastic_net,False,,,0.1,0.5,SGDRegressor_elasticnet,,,-inf
elastic_net,False,,,0.1,0.9,SGDRegressor_elasticnet,,,-inf
logistic_classifier,False,,,5.468760253925476e-05,,SGDClassifier_log_loss,0.01,none,0.07038920354548651
logistic_classifier,False,,,5.468760253925476e-05,,SGDClassifier_log_loss,0.01,balanced,0.05441616165778156
logistic_classifier,False,,,5.468760253925476e-06,,SGDClassifier_log_loss,0.1,none,0.005007135831111898
logistic_classifier,False,,,5.468760253925476e-06,,SGDClassifier_log_loss,0.1,balanced,0.06179389286161183
logistic_classifier,False,,,5.468760253925476e-07,,SGDClassifier_log_loss,1.0,none,-0.010531845449429915
logistic_classifier,False,,,5.468760253925476e-07,,SGDClassifier_log_loss,1.0,balanced,-0.0056852073621890264
logistic_classifier,False,,,5.468760253925476e-08,,SGDClassifier_log_loss,10.0,none,0.000515455825197299
logistic_classifier,False,,,5.468760253925476e-08,,SGDClassifier_log_loss,10.0,balanced,0.0012114958426988815
