model,split,actual_label,predicted_label,count
gb_classifier,train,0,0,79504
gb_classifier,train,0,1,285178
gb_classifier,train,0,2,2432
gb_classifier,train,1,0,56968
gb_classifier,train,1,1,1040135
gb_classifier,train,1,2,3783
gb_classifier,train,2,0,48022
gb_classifier,train,2,1,311652
gb_classifier,train,2,2,7402
gb_classifier,validation,0,0,11901
gb_classifier,validation,0,1,69278
gb_classifier,validation,0,2,36
gb_classifier,validation,1,0,6212
gb_classifier,validation,1,1,237291
gb_classifier,validation,1,2,17
gb_classifier,validation,2,0,7701
gb_classifier,validation,2,1,73466
gb_classifier,validation,2,2,29
gb_classifier,test,0,0,34261
gb_classifier,test,0,1,139242
gb_classifier,test,0,2,809
gb_classifier,test,1,0,14494
gb_classifier,test,1,1,507913
gb_classifier,test,1,2,330
gb_classifier,test,2,0,20525
gb_classifier,test,2,1,153235
gb_classifier,test,2,2,531
