model,selected,max_iter,learning_rate,max_leaf_nodes,validation_monthly_rank_ic
gradient_boosting_reg,True,100,0.1,31,
gb_classifier,True,100,0.03,63,
gradient_boosting_reg,False,100,0.03,31,-0.010750419263316291
gradient_boosting_reg,False,100,0.1,31,0.02826596435530996
gradient_boosting_reg,False,300,0.03,31,0.016172052622671004
gradient_boosting_reg,False,100,0.03,63,0.0006064430586236437
gb_classifier,False,100,0.03,31,0.06888327111877526
gb_classifier,False,100,0.1,31,0.06704145396405627
gb_classifier,False,300,0.03,31,0.06926668670489457
gb_classifier,False,100,0.03,63,0.07383838175620218
