model_family,model_name,score,model,mean_rank_ic_validation,rank_ic_tstat_validation,hit_rate_validation,mean_top_bottom_spread_validation,spread_tstat_validation,mean_rank_ic_test,rank_ic_tstat_test,hit_rate_test,mean_top_bottom_spread_test,spread_tstat_test,num_months_validation,num_months_test
XGB,XGB,classifier,xgb_classifier,0.07477702744750117,5.975759394213301,0.8333333333333334,0.010321352630853653,2.420473009953125,0.07948290614055661,6.39794959104103,0.7570093457943925,0.011215709149837494,1.9981508148654952,60,107
XGB,XGB,ER_train,xgb_er_train,0.019551227855006775,1.5098063776525514,0.65,0.006614715792238712,1.7021324414078631,0.00850493159824758,0.814630653180505,0.5514018691588785,0.007390033919364214,1.786269120360194,60,107
MLP,MLP,classifier,mlp_classifier,0.07356422897767814,6.343087478421236,0.85,0.009067797102034092,2.1625455531932243,0.09571374348361597,7.734405707773625,0.7850467289719626,0.01038028858602047,1.8059459299512257,60,107
MLP,MLP,ER_train,mlp_er_train,0.039677749398340886,2.465300098315893,0.6833333333333333,0.007801172323524952,1.7326760067845275,0.07382412623735082,7.092180982978822,0.7850467289719626,0.012284881435334682,2.6758872003020757,60,107
FT-Transformer,FT-Transformer main,classifier,ft_transformer_classifier,0.09359803096183472,5.972553325407591,0.7833333333333333,0.011131180450320244,2.1060034298291517,0.09330136152204012,6.190525647764555,0.7383177570093458,0.007427685894072056,1.1200090847856665,60,107
FT-Transformer,FT-Transformer small lr5e-5 seed362559,classifier,ft_small_lr5e5_seed362559_classifier,0.09247073140755173,6.147012643121891,0.7833333333333333,0.011081578209996223,2.163679641070936,0.09106700325963576,6.196007869255177,0.7476635514018691,0.007416761480271816,1.1378165748657494,60,107
FT-Transformer,FT-Transformer main,ER_train,ft_transformer_er_train,0.08668531235765002,6.4960290181812645,0.8666666666666667,0.012151466682553291,2.7479182372899578,0.08559945325404474,7.573447439113496,0.7850467289719626,0.011705419048666954,2.0762880551707523,60,107
TTT,TTT tiny random,classifier,temporal_tabular_tiny_random_classifier,0.0975490340550868,7.534536896654379,0.8833333333333333,0.013242801651358604,2.4598709616279253,0.10282189990222242,8.25360267330376,0.822429906542056,0.009410797618329525,1.4130318756381888,60,107
TTT,TTT small random,classifier,temporal_tabular_small_random_classifier,0.09313225421719075,6.503703461364486,0.8166666666666667,0.012770269066095352,2.341523670449131,0.08967175349916962,7.052654125961673,0.8037383177570093,0.009322786703705788,1.4170194605673856,60,107
TTT,TTT small MLP branch,classifier,temporal_tabular_small_mlp_branch_classifier,0.09121205589438075,7.280739740400089,0.8666666666666667,0.012415677309036255,2.5733421345066794,0.09477429623674782,7.89290190378387,0.794392523364486,0.01037427969276905,1.6577634744100518,60,107
