model,split,mean_rank_ic,rank_ic_tstat,hit_rate,mean_top_bottom_spread,spread_tstat,num_months
temporal_tabular_tiny_random_classifier,test,0.10282189990222242,8.25360267330376,0.822429906542056,0.009410797618329525,1.4130318756381888,107
temporal_tabular_transformer_seed362559_classifier,test,0.1017404131619254,8.65233809773201,0.8037383177570093,0.012890509329736233,2.2448826151039043,107
temporal_tabular_small_ft_warmstart_classifier,test,0.09857674030046588,9.23680261164606,0.8504672897196262,0.00857662782073021,1.4243524322597223,107
temporal_tabular_tiny_random_classifier,validation,0.0975490340550868,7.534536896654379,0.8833333333333333,0.013242801651358604,2.4598709616279253,60
temporal_tabular_small_mlp_warmstart_classifier,test,0.09748762543047791,8.843133293256532,0.822429906542056,0.010661499574780464,1.8269211905166833,107
mlp_classifier,test,0.09571374348361597,7.734405707773625,0.7850467289719626,0.01038028858602047,1.8059459299512257,107
temporal_tabular_small_mlp_branch_classifier,test,0.09477429623674782,7.89290190378387,0.794392523364486,0.01037427969276905,1.6577634744100518,107
ft_small_seed362559_classifier,validation,0.09359803096183472,5.972553325407591,0.7833333333333333,0.011131180450320244,2.1060034298291517,60
ft_transformer_classifier,validation,0.09359803096183472,5.972553325407591,0.7833333333333333,0.011131180450320244,2.1060034298291517,60
ft_small_seed362559_classifier,test,0.09330136152204012,6.190525647764555,0.7383177570093458,0.007427685894072056,1.1200090847856665,107
ft_transformer_classifier,test,0.09330136152204012,6.190525647764555,0.7383177570093458,0.007427685894072056,1.1200090847856665,107
temporal_tabular_small_random_classifier,validation,0.09313225421719075,6.503703461364486,0.8166666666666667,0.012770269066095352,2.341523670449131,60
ft_small_lr5e5_seed362559_classifier,validation,0.09247073140755173,6.147012643121891,0.7833333333333333,0.011081578209996223,2.163679641070936,60
ft_reg_seed362559_classifier,test,0.09140427688103177,7.635543756848844,0.7757009345794392,0.008003227412700653,1.276974391780308,107
temporal_tabular_small_mlp_branch_classifier,validation,0.09121205589438075,7.280739740400089,0.8666666666666667,0.012415677309036255,2.5733421345066794,60
ft_small_lr5e5_seed362559_classifier,test,0.09106700325963576,6.196007869255177,0.7476635514018691,0.007416761480271816,1.1378165748657494,107
ft_lr5e5_seed362559_classifier,test,0.09099013362256005,6.204400922704741,0.7476635514018691,0.008033898659050465,1.2503616977488452,107
temporal_tabular_small_random_classifier,test,0.08967175349916962,7.052654125961673,0.8037383177570093,0.009322786703705788,1.4170194605673856,107
temporal_tabular_transformer_seed362559_classifier,validation,0.08851913450899557,6.876927323254077,0.8833333333333333,0.01199485082179308,2.6345359244861744,60
temporal_tabular_small_ft_warmstart_classifier,validation,0.08803671456710352,8.385272523816733,0.8666666666666667,0.01169656403362751,2.5571188433725975,60
ft_lr2e5_seed362559_classifier,test,0.08785770431521342,8.019421309328585,0.7663551401869159,0.01020312774926424,1.821412022469119,107
