model,split,score_name,month,rank_ic
ft_transformer,train,prediction_ft_er_train_score,1989-12-29,-0.0701969784380321
ft_transformer,train,prediction_ft_er_train_score,1990-01-31,0.09130155363667342
ft_transformer,train,prediction_ft_er_train_score,1990-02-28,0.1126712260954913
ft_transformer,train,prediction_ft_er_train_score,1990-03-30,0.05963234040957904
ft_transformer,train,prediction_ft_er_train_score,1990-04-30,0.18990958518720738
ft_transformer,train,prediction_ft_er_train_score,1990-05-31,0.08458097965194146
ft_transformer,train,prediction_ft_er_train_score,1990-06-29,0.12338263272328581
ft_transformer,train,prediction_ft_er_train_score,1990-07-31,0.046512700474501206
ft_transformer,train,prediction_ft_er_train_score,1990-08-31,0.02552133962320762
ft_transformer,train,prediction_ft_er_train_score,1990-09-28,0.11531031920152651
ft_transformer,train,prediction_ft_er_train_score,1990-10-31,0.13591727598700892
ft_transformer,train,prediction_ft_er_train_score,1990-11-30,0.23970694295942063
ft_transformer,train,prediction_ft_er_train_score,1990-12-31,-0.030936700064643937
ft_transformer,train,prediction_ft_er_train_score,1991-01-31,-0.0041636010316910554
ft_transformer,train,prediction_ft_er_train_score,1991-02-28,0.011271419175222737
ft_transformer,train,prediction_ft_er_train_score,1991-03-28,0.017830889386334817
ft_transformer,train,prediction_ft_er_train_score,1991-04-30,0.15745469481503804
ft_transformer,train,prediction_ft_er_train_score,1991-05-31,-0.07254642686685692
ft_transformer,train,prediction_ft_er_train_score,1991-06-28,0.1654430259875472
ft_transformer,train,prediction_ft_er_train_score,1991-07-31,0.11100012559092817
ft_transformer,train,prediction_ft_er_train_score,1991-08-30,0.03442562820464788
ft_transformer,train,prediction_ft_er_train_score,1991-09-30,0.04899203211736415
ft_transformer,train,prediction_ft_er_train_score,1991-10-31,-0.02389611939408563
ft_transformer,train,prediction_ft_er_train_score,1991-11-29,0.3081125460255903
ft_transformer,train,prediction_ft_er_train_score,1991-12-31,-0.22519844103470235
ft_transformer,train,prediction_ft_er_train_score,1992-01-31,-0.011385138435303747
ft_transformer,train,prediction_ft_er_train_score,1992-02-28,0.06329308224924841
ft_transformer,train,prediction_ft_er_train_score,1992-03-31,0.06375460085710247
ft_transformer,train,prediction_ft_er_train_score,1992-04-30,0.06433952931413747
ft_transformer,train,prediction_ft_er_train_score,1992-05-29,0.10362448032774625
ft_transformer,train,prediction_ft_er_train_score,1992-06-30,0.12216767423891574
ft_transformer,train,prediction_ft_er_train_score,1992-07-31,0.0701234263567114
