model,split,MthCalDt,spread_t,num_top,num_bottom
mlp_classifier,test,2015-12-31,0.08081097,1435,1435
mlp_classifier,test,2016-01-29,0.0063459794,1430,1429
mlp_classifier,test,2016-02-29,-0.03252145,1427,1426
mlp_classifier,test,2016-03-31,-0.08344209,1423,1423
mlp_classifier,test,2016-04-29,0.03284437,1422,1421
mlp_classifier,test,2016-05-31,0.005178783,1423,1423
mlp_classifier,test,2016-06-30,-0.03661954,1424,1423
mlp_classifier,test,2016-07-29,-0.018486306,1424,1423
mlp_classifier,test,2016-08-31,-0.028466877,1417,1416
mlp_classifier,test,2016-09-30,0.06783266,1418,1418
mlp_classifier,test,2016-10-31,0.0064818896,1422,1421
mlp_classifier,test,2016-11-30,0.04700966,1420,1419
mlp_classifier,test,2016-12-30,-0.038437508,1422,1421
mlp_classifier,test,2017-01-31,0.007932919,1426,1425
mlp_classifier,test,2017-02-28,0.0028231407,1422,1421
mlp_classifier,test,2017-03-31,0.04853425,1422,1422
mlp_classifier,test,2017-04-28,0.041655455,1426,1425
mlp_classifier,test,2017-05-31,-0.026369032,1429,1428
mlp_classifier,test,2017-06-30,0.041226275,1430,1429
mlp_classifier,test,2017-07-31,0.021961361,1432,1431
mlp_classifier,test,2017-08-31,-0.041971218,1427,1426
mlp_classifier,test,2017-09-29,0.04488878,1424,1423
mlp_classifier,test,2017-10-31,-0.006768806,1431,1430
mlp_classifier,test,2017-11-30,-0.020508707,1442,1441
mlp_classifier,test,2017-12-29,-0.0019434765,1441,1441
mlp_classifier,test,2018-01-31,-0.0022883378,1449,1448
mlp_classifier,test,2018-02-28,-0.0027370255,1453,1452
mlp_classifier,test,2018-03-29,-0.00768133,1443,1442
mlp_classifier,test,2018-04-30,-0.041145228,1452,1451
mlp_classifier,test,2018-05-31,0.006405676,1454,1454
mlp_classifier,test,2018-06-29,0.052118316,1465,1464
mlp_classifier,test,2018-07-31,-0.00085716695,1471,1471
mlp_classifier,test,2018-08-31,0.0040375763,1469,1468
mlp_classifier,test,2018-09-28,0.033915736,1475,1474
mlp_classifier,test,2018-10-31,0.041235965,1483,1482
mlp_classifier,test,2018-11-30,0.082157,1483,1482
mlp_classifier,test,2018-12-31,-0.11071156,1482,1481
mlp_classifier,test,2019-01-31,-0.017980948,1482,1481
mlp_classifier,test,2019-02-28,-0.004316448,1478,1478
mlp_classifier,test,2019-03-29,0.03274475,1478,1478
mlp_classifier,test,2019-04-30,0.021682233,1480,1479
mlp_classifier,test,2019-05-31,0.04571392,1492,1491
mlp_classifier,test,2019-06-28,0.053062,1495,1494
mlp_classifier,test,2019-07-31,0.0363903,1499,1498
mlp_classifier,test,2019-08-30,0.009826144,1498,1497
mlp_classifier,test,2019-09-30,0.031844407,1500,1500
mlp_classifier,test,2019-10-31,-0.0008947849,1501,1500
mlp_classifier,test,2019-11-29,-0.03083817,1501,1500
mlp_classifier,test,2019-12-31,-0.040300086,1500,1500
mlp_classifier,test,2020-01-31,-0.045315795,1502,1501
mlp_classifier,test,2020-02-28,0.034332022,1502,1501
mlp_classifier,test,2020-03-31,-0.09920412,1495,1495
mlp_classifier,test,2020-04-30,-0.0017781407,1496,1496
mlp_classifier,test,2020-05-29,-0.09847473,1495,1494
mlp_classifier,test,2020-06-30,0.022605421,1504,1503
mlp_classifier,test,2020-07-31,0.02169332,1510,1509
mlp_classifier,test,2020-08-31,0.010192215,1515,1514
mlp_classifier,test,2020-09-30,0.0028065222,1526,1525
mlp_classifier,test,2020-10-30,-0.14361754,1541,1540
mlp_classifier,test,2020-11-30,-0.041578002,1555,1554
mlp_classifier,test,2020-12-31,-0.22524117,1575,1575
mlp_classifier,test,2021-01-29,-0.04127951,1593,1592
mlp_classifier,test,2021-02-26,0.061543252,1611,1611
mlp_classifier,test,2021-03-31,0.05960848,1643,1642
mlp_classifier,test,2021-04-30,0.029331043,1672,1672
mlp_classifier,test,2021-05-28,-0.06902129,1696,1695
mlp_classifier,test,2021-06-30,0.11837912,1718,1717
mlp_classifier,test,2021-07-30,-0.0036484804,1745,1744
mlp_classifier,test,2021-08-31,0.020667465,1756,1755
mlp_classifier,test,2021-09-30,0.059989817,1775,1774
mlp_classifier,test,2021-10-29,0.09431468,1794,1793
mlp_classifier,test,2021-11-30,0.15053523,1814,1813
mlp_classifier,test,2021-12-31,0.08534984,1838,1837
mlp_classifier,test,2022-01-31,0.01997158,1855,1854
mlp_classifier,test,2022-02-28,-0.00043851696,1870,1869
mlp_classifier,test,2022-03-31,0.12786187,1877,1876
mlp_classifier,test,2022-04-29,0.089363046,1885,1884
mlp_classifier,test,2022-05-31,-0.012236945,1887,1886
mlp_classifier,test,2022-06-30,-0.026347376,1892,1891
mlp_classifier,test,2022-07-29,-0.028758194,1892,1891
mlp_classifier,test,2022-08-31,0.10757199,1894,1893
mlp_classifier,test,2022-09-30,0.08359348,1899,1899
mlp_classifier,test,2022-10-31,0.06950314,1897,1896
mlp_classifier,test,2022-11-30,0.055583198,1893,1893
mlp_classifier,test,2022-12-30,-0.19109082,1881,1880
mlp_classifier,test,2023-01-31,0.05107502,1876,1875
mlp_classifier,test,2023-02-28,0.07013798,1871,1870
mlp_classifier,test,2023-03-31,0.019736249,1865,1864
mlp_classifier,test,2023-04-28,-0.034912813,1860,1859
mlp_classifier,test,2023-05-31,0.039756343,1861,1860
mlp_classifier,test,2023-06-30,-0.009540785,1859,1858
mlp_classifier,test,2023-07-31,0.087901436,1853,1853
mlp_classifier,test,2023-08-31,0.06563281,1856,1855
mlp_classifier,test,2023-09-29,0.088611394,1864,1863
mlp_classifier,test,2023-10-31,0.0074596778,1867,1866
mlp_classifier,test,2023-11-30,-0.06957616,1866,1865
mlp_classifier,test,2023-12-29,0.04017447,1862,1861
mlp_classifier,test,2024-01-31,-0.034505744,1874,1873
mlp_classifier,test,2024-02-29,0.03205716,1866,1865
mlp_classifier,test,2024-03-28,0.045887236,1867,1866
mlp_classifier,test,2024-04-30,-0.0036795698,1869,1868
mlp_classifier,test,2024-05-31,0.055786364,1875,1874
mlp_classifier,test,2024-06-28,0.020079877,1881,1880
mlp_classifier,test,2024-07-31,0.075251974,1888,1887
mlp_classifier,test,2024-08-30,0.010001797,1888,1887
mlp_classifier,test,2024-09-30,-0.027016751,1909,1908
mlp_classifier,test,2024-10-31,-0.027767487,1917,1916
mlp_classifier,validation,2010-12-31,-0.017053505,1302,1301
mlp_classifier,validation,2011-01-31,0.011489965,1307,1306
mlp_classifier,validation,2011-02-28,0.02714135,1307,1306
mlp_classifier,validation,2011-03-31,0.026750343,1309,1308
mlp_classifier,validation,2011-04-29,0.018434111,1313,1312
mlp_classifier,validation,2011-05-31,0.035033297,1319,1318
mlp_classifier,validation,2011-06-30,-0.019602496,1323,1322
mlp_classifier,validation,2011-07-29,0.041007593,1325,1324
mlp_classifier,validation,2011-08-31,0.026739836,1325,1324
mlp_classifier,validation,2011-09-30,0.06997741,1326,1325
mlp_classifier,validation,2011-10-31,-0.004309606,1323,1322
